timestamp_s,phase,tamper_type,altitude_m,speed_ms,heading_deg,latitude,longitude,anomaly_label,health_status
1,normal_operation,normal,0.0,0.0,-131.4,7.96680155,98.27876812,0,1
2,normal_operation,normal,0.0,0.0,-131.4,7.96680156,98.27876811,0,1
3,normal_operation,normal,0.0,0.0,-131.4,7.96680154,98.27876812,0,1
4,normal_operation,normal,0.0,0.0,-131.3,7.96680154,98.27876812,0,1
5,normal_operation,normal,0.0,0.0,-131.2,7.96680155,98.27876809,0,1
6,normal_operation,normal,0.0,0.0,-131.1,7.96680156,98.27876806,0,1
7,normal_operation,normal,0.0,0.0,-131.2,7.96680155,98.27876808,0,1
8,normal_operation,normal,0.0,0.0,-131.2,7.96680154,98.27876811,0,1
9,normal_operation,normal,36.9978,0.0,-131.2,7.96680155,98.27876809,0,1
10,normal_operation,normal,36.9978,0.0,-131.2,7.96680164,98.27876812,0,1
11,normal_operation,normal,36.9978,0.0,-131.2,7.96680165,98.2787681,0,1
12,normal_operation,normal,36.9978,0.0,-131.2,7.96680165,98.27876812,0,1
13,normal_operation,normal,36.9978,0.0,-131.2,7.96680162,98.27876832,0,1
14,normal_operation,normal,36.9978,0.0,-131.2,7.96680166,98.27876824,0,1
15,normal_operation,normal,36.9978,0.0,-131.2,7.96680165,98.27876832,0,1
16,normal_operation,normal,36.9978,0.0,-131.2,7.96680164,98.27876833,0,1
17,normal_operation,normal,36.9978,0.0,-131.1,7.96680164,98.27876833,0,1
18,normal_operation,normal,37.0978,0.0,-131.1,7.96680174,98.27876843,0,1
19,normal_operation,normal,37.0978,0.0,-131.1,7.96680174,98.27876843,0,1
20,normal_operation,normal,37.0978,0.0,-131.1,7.96680175,98.27876843,0,1
21,normal_operation,normal,37.0978,0.0,-131.1,7.96680184,98.27876843,0,1
22,normal_operation,normal,37.0978,0.0,-131.1,7.96680184,98.27876843,0,1
23,normal_operation,normal,37.0978,0.0,-131.1,7.96680184,98.27876853,0,1
24,normal_operation,normal,37.0978,0.0,-130.9,7.96680183,98.27876854,0,1
25,normal_operation,normal,37.0978,0.0,-128.4,7.96680183,98.27876856,0,1
26,normal_operation,normal,37.0978,0.0,-125.0,7.96680183,98.27876869,0,1
27,normal_operation,normal,37.0978,0.0,-126.3,7.96680179,98.27876869,0,1
28,normal_operation,normal,37.2978,0.3,-130.3,7.96680116,98.27876825,0,1
29,normal_operation,normal,37.3978,0.2,-130.1,7.96680112,98.27876837,0,1
30,normal_operation,normal,37.5978,0.2,-130.2,7.9668009,98.27876833,0,1
31,normal_operation,normal,37.7978,0.1,-130.2,7.96680086,98.27876848,0,1
32,normal_operation,normal,37.9978,0.1,-130.3,7.96680061,98.27876895,0,1
33,normal_operation,normal,38.1979,0.1,-130.1,7.96680043,98.27876896,0,1
34,normal_operation,normal,38.3978,0.1,-130.1,7.96680031,98.27876901,0,1
35,normal_operation,normal,34.9306,0.1,-130.2,7.96662585,98.27859346,0,1
36,normal_operation,normal,39.6979,0.1,-130.1,7.96679999,98.27876935,0,1
37,normal_operation,normal,40.1979,0.1,-130.1,7.96679977,98.27876937,0,1
38,normal_operation,normal,40.5978,0.0,-129.7,7.9667997,98.27876937,0,1
39,normal_operation,normal,41.1979,0.0,-129.3,7.96679968,98.27876948,0,1
40,normal_operation,normal,41.5978,0.0,-129.9,7.96679968,98.2787695,0,1
41,normal_operation,normal,42.1979,0.0,-130.0,7.96679964,98.27876962,0,1
42,normal_operation,normal,42.7978,0.0,-129.9,7.96679965,98.27876969,0,1
43,normal_operation,normal,43.3978,0.0,-130.3,7.96679951,98.27876992,0,1
44,normal_operation,normal,43.8978,0.0,-130.2,7.96679941,98.27877002,0,1
45,normal_operation,normal,44.4978,0.0,-130.3,7.96679938,98.27877006,0,1
46,normal_operation,normal,44.9978,0.0,-130.1,7.96679936,98.27877009,0,1
47,normal_operation,normal,45.3978,0.0,-130.0,7.96679933,98.2787702,0,1
48,normal_operation,normal,45.9978,0.0,-130.3,7.96679932,98.2787702,0,1
49,normal_operation,normal,46.4978,0.0,-130.1,7.9667992,98.27877013,0,1
50,normal_operation,normal,46.9978,0.0,-130.0,7.96679918,98.27877007,0,1
51,normal_operation,normal,47.5978,0.0,-130.4,7.96679914,98.27876997,0,1
52,normal_operation,normal,48.0978,0.0,-130.4,7.96679917,98.27876991,0,1
53,normal_operation,normal,48.5978,0.0,-130.2,7.96679909,98.27876984,0,1
54,normal_operation,normal,49.0978,0.0,-130.3,7.96679908,98.27876988,0,1
55,normal_operation,normal,49.5978,0.0,-130.4,7.96679911,98.27876977,0,1
56,normal_operation,normal,50.0978,0.0,-130.2,7.96679913,98.27876964,0,1
57,normal_operation,normal,50.6979,0.0,-130.4,7.96679921,98.27876957,0,1
58,normal_operation,normal,51.1979,0.0,-130.2,7.96679926,98.27876948,0,1
59,normal_operation,normal,51.6979,0.0,-130.1,7.96679918,98.27876954,0,1
60,normal_operation,normal,52.2978,0.0,-130.3,7.96679919,98.27876955,0,1
61,data_injection,injection,36.9978,0.0,-131.2,7.96680164,98.27876824,1,0
62,data_injection,injection,38.2056,0.0,-131.2,7.96661129,98.27896045,1,0
63,data_injection,injection,36.9978,0.0,-131.2,7.96680165,98.27876824,1,0
64,data_injection,injection,37.1979,0.1,-132.4,7.96680166,98.27876854,1,0
65,data_injection,injection,37.1979,0.2,-132.0,7.96680147,98.27876844,1,0
66,data_injection,injection,39.3309,0.2,-132.0,7.96699805,98.27856969,1,0
67,data_injection,injection,38.6979,0.1,-130.3,7.96680026,98.27876918,1,0
68,data_injection,injection,39.0978,0.1,-130.3,7.96680017,98.27876931,1,0
69,data_injection,injection,39.3978,0.1,-130.2,7.96680008,98.27876933,1,0
70,data_injection,injection,53.7978,0.0,-130.2,7.96679919,98.27877004,1,0
71,data_injection,injection,54.2978,0.0,-130.2,7.96679915,98.27877008,1,0
72,data_injection,injection,54.8978,0.0,-130.2,7.96679912,98.27877021,1,0
73,data_injection,injection,59.1979,0.0,-130.4,7.96679898,98.27877026,1,0
74,data_injection,injection,59.6979,0.0,-130.3,7.96679892,98.27877015,1,0
75,data_injection,injection,60.0978,0.0,-130.4,7.96679886,98.27877052,1,0
